datetime,low,high,open,close,volumefrom,volumeto
2018-01-30,1025.77,1172.0,1168.0,1051.54,61847.15,68310979.3
2018-01-31,1010.77,1118.88,1051.54,1110.14,34149.47,36823923.26
2018-02-01,936.0,1152.05,1110.14,1022.08,92033.55,97420345.0
2018-02-02,731.0,1022.08,1022.08,918.39,184904.24,163787521.59
2018-02-03,838.67,995.0,918.39,969.93,27592.49,25845614.41
2018-02-04,782.0,969.96,969.93,826.51,37124.18,32212587.32
2018-02-05,632.0,855.0,826.51,692.36,128779.91,93646186.49
2018-02-06,565.0,808.0,692.36,784.01,157935.75,105635084.43
2018-02-07,720.01,866.05,784.01,752.89,75081.13,59979215.08
2018-02-08,748.42,846.28,752.89,812.01,40467.32,32767068.71
2018-02-09,780.88,883.07,812.01,875.1,40273.37,33440757.53
2018-02-10,815.0,913.3,875.1,851.83,32319.24,28159024.53
2018-02-11,775.99,855.19,851.83,809.69,25362.86,20574387.38
2018-02-12,808.52,877.95,809.69,865.57,23687.09,20236422.85
2018-02-13,819.31,869.14,865.57,841.82,24840.28,20852550.01
2018-02-14,839.75,924.52,841.82,922.98,43648.22,38820006.6
2018-02-15,905.0,951.25,922.98,927.91,41358.45,38469448.44
2018-02-16,908.0,947.87,927.91,940.0,23773.48,22105688.99
2018-02-17,935.25,980.0,940.0,977.74,20558.71,19769580.41
2018-02-18,905.52,983.31,977.74,912.85,28492.25,26674431.16
2018-02-19,906.0,955.58,912.85,938.05,14832.72,13910821.95
2018-02-20,874.0,958.74,938.05,884.24,25435.77,23414826.73
2018-02-21,816.0,906.09,884.24,837.98,34498.71,29817820.23
2018-02-22,789.99,871.81,837.98,803.57,26905.05,22123158.68
2018-02-23,787.0,883.44,803.57,851.98,20669.2,17425267.71
2018-02-24,809.01,878.0,851.98,835.74,11028.29,9240502.17
2018-02-25,818.38,851.38,835.74,842.65,8988.89,7497588.33
2018-02-26,834.77,880.0,842.65,868.4,15603.01,13426195.18
2018-02-27,861.0,896.0,868.4,870.32,14062.01,12366980.38
2018-02-28,848.46,889.85,870.32,850.16,15701.07,13654448.62
2018-03-01,845.81,881.47,850.16,869.01,16063.6,13958089.6
2018-03-02,847.93,875.17,869.01,856.08,7584.52,6531494.58
2018-03-03,849.0,868.7,856.08,853.76,5600.73,4812826.3
2018-03-04,837.17,866.43,853.76,862.28,5387.93,4585621.88
2018-03-05,848.0,869.21,862.28,848.0,8662.08,7454520.86
2018-03-06,802.55,850.99,848.0,813.09,18233.71,15091451.81
2018-03-07,723.13,825.61,813.09,750.42,41014.67,31186784.89
2018-03-08,686.5,773.12,750.42,698.06,32177.2,23532983.02
2018-03-09,640.55,732.31,698.06,726.13,53099.98,36217417.2
2018-03-10,676.21,750.0,726.13,682.87,14417.57,10386109.79
2018-03-11,662.48,737.14,682.87,720.38,17188.71,12033021.61
2018-03-12,676.0,740.7,720.38,695.5,25021.99,17746205.68
2018-03-13,680.0,715.0,695.5,690.01,27159.25,18821683.36
2018-03-14,584.0,703.51,690.01,613.07,38834.72,24891541.86
2018-03-15,571.56,620.0,613.07,611.02,44548.03,26800176.92
2018-03-16,583.4,625.51,611.02,599.87,30596.65,18603170.86
2018-03-17,542.75,610.0,599.87,550.1,21796.89,12533882.59
2018-03-18,453.01,561.52,550.1,538.0,79232.22,39669901.87
2018-03-19,515.47,559.0,538.0,555.68,50383.27,27164244.84
2018-03-20,515.38,567.49,555.68,557.41,41228.07,22372593.36
2018-03-21,545.0,590.69,557.41,560.52,42065.02,23966692.42
2018-03-22,517.45,578.58,560.52,540.12,29000.28,15732431.06
2018-03-23,506.0,543.2,540.12,543.03,26831.19,13993919.05
2018-03-24,518.66,545.55,543.03,519.99,16223.12,8675984.5
2018-03-25,512.59,535.68,519.99,521.99,13946.26,7274739.21
2018-03-26,466.72,525.55,521.99,485.79,46310.09,22767520.72
2018-03-27,445.08,492.09,485.79,449.41,51374.77,23717562.77
2018-03-28,440.0,465.85,449.41,446.49,22678.78,10229638.29
2018-03-29,378.86,448.5,446.49,383.07,78007.79,31494020.96
2018-03-30,362.0,411.41,383.07,393.46,92799.41,35648684.52
2018-03-31,387.85,419.7,393.46,393.79,37134.69,14961868.1
2018-04-01,358.4,399.78,393.79,378.0,40341.46,15176213.97
2018-04-02,375.02,395.0,378.0,384.47,20485.05,7905826.4
2018-04-03,380.0,419.08,384.47,415.32,31371.19,12665490.73
2018-04-04,370.49,417.5,415.32,378.99,31337.18,12129246.25
2018-04-05,366.95,387.49,378.99,381.05,20729.05,7839973.51
2018-04-06,360.0,385.62,381.05,370.08,18493.15,6822681.99
2018-04-07,368.99,397.4,370.08,384.66,16411.98,6314152.63
2018-04-08,384.14,410.0,384.66,400.23,11317.66,4510027.19
2018-04-09,386.19,431.36,400.23,399.0,26518.22,10794949.12
2018-04-10,391.28,418.3,399.0,415.65,25139.03,10097890.07
2018-04-11,411.0,433.46,415.65,430.0,21763.25,9172418.45
2018-04-12,413.8,498.0,430.0,494.31,48431.86,21989054.67
2018-04-13,481.67,529.36,494.31,495.95,57808.73,29380218.17
2018-04-14,486.0,515.91,495.95,503.41,18199.93,9141352.03
2018-04-15,503.14,535.0,503.41,533.83,29650.65,15424854.36
2018-04-16,498.34,537.43,533.83,510.57,28988.81,14877297.5
2018-04-17,500.54,521.36,510.57,502.8,22085.39,11248019.95
2018-04-18,501.28,526.66,502.8,525.2,23073.93,11868079.69
2018-04-19,520.2,569.0,525.2,566.46,31732.09,17262758.57
2018-04-20,556.37,622.26,566.46,617.7,52187.09,30625886.34
2018-04-21,573.58,624.75,617.7,604.85,36398.73,21864943.78
2018-04-22,591.31,643.46,604.85,621.5,30537.8,18983954.8
2018-04-23,618.56,648.24,621.5,643.77,24226.71,15454599.33
2018-04-24,643.68,711.7,643.77,703.71,54671.06,37658711.96
2018-04-25,595.0,704.01,703.71,617.02,112502.46,71898152.12
2018-04-26,598.15,666.0,617.02,660.95,49649.48,31048589.4
2018-04-27,636.15,685.0,660.95,642.54,29571.04,19744517.72
2018-04-28,639.05,697.08,642.54,683.38,24553.17,16696443.32
2018-04-29,666.0,699.97,683.38,689.23,22215.95,15200757.04
2018-04-30,663.0,694.14,689.23,669.98,23810.06,16215129.92
2018-05-01,627.22,674.01,669.98,669.86,36528.64,23786117.68
2018-05-02,661.03,690.05,669.86,687.29,27719.04,18812632.05
2018-05-03,684.89,785.0,687.29,776.92,54001.98,39662583.12
2018-05-04,758.1,803.99,776.92,782.47,30244.06,23710094.63
2018-05-05,778.03,830.0,782.47,815.45,16170.22,13099107.07
2018-05-06,749.0,832.37,815.45,787.42,30945.17,24207174.37
2018-05-07,691.99,791.0,787.42,751.18,53733.47,39231856.77
2018-05-08,716.0,775.11,751.18,747.92,37843.38,28009168.22
2018-05-09,710.01,759.9,747.92,749.58,35051.92,25752685.44
2018-05-10,720.0,766.99,749.58,723.6,29806.88,22330339.48
2018-05-11,662.57,735.68,723.6,677.26,50671.75,35055783.87
2018-05-12,638.15,692.7,677.26,683.99,31181.08,20717889.95
2018-05-13,668.78,741.61,683.99,730.06,31210.26,21960407.95
2018-05-14,686.63,743.0,730.06,727.62,43957.93,31490190.07
2018-05-15,695.74,739.37,727.62,707.38,30116.83,21824205.76
2018-05-16,674.57,712.0,707.38,706.88,24194.54,16797410.82
2018-05-17,660.65,718.9,706.88,669.04,35431.74,24678761.6
2018-05-18,656.36,694.96,669.04,692.54,23002.33,15531259.28
2018-05-19,683.0,716.93,692.54,695.88,12333.29,8619183.38
2018-05-20,687.89,723.16,695.88,716.0,10793.91,7692574.17
2018-05-21,687.8,720.0,716.0,696.43,13978.12,9859494.89
2018-05-22,637.93,699.57,696.43,640.86,30230.0,20371982.92
2018-05-23,564.94,649.89,640.86,576.84,67508.31,40520621.6
2018-05-24,549.28,609.0,576.84,601.76,42744.25,24892035.28
2018-05-25,569.19,616.18,601.76,584.99,22893.39,13595197.96
2018-05-26,578.84,607.7,584.99,585.65,9028.9,5360504.55
2018-05-27,556.92,592.88,585.65,571.39,11946.29,6859871.71
2018-05-28,506.3,576.45,571.39,512.23,22259.11,11912155.04
2018-05-29,510.05,573.34,512.23,566.99,35847.36,19319909.05
2018-05-30,541.3,585.32,566.99,556.82,34053.02,19104926.92
2018-05-31,553.2,586.0,556.82,576.85,32196.4,18470465.66
2018-06-01,563.38,589.0,576.85,578.96,22076.54,12727204.53
2018-06-02,573.32,599.5,578.96,591.0,15555.64,9150290.07
2018-06-03,590.0,628.78,591.0,619.59,10974.65,6732722.23
2018-06-04,579.03,625.4,619.59,590.0,21461.18,12913293.8
2018-06-05,576.47,613.0,590.0,607.53,36158.04,21501507.33
2018-06-06,593.4,612.04,607.53,606.39,21138.65,12741072.02
2018-06-07,597.96,616.74,606.39,604.05,21291.02,12941701.39
2018-06-08,592.06,608.0,604.05,599.88,13892.62,8341791.84
2018-06-09,590.93,610.0,599.88,593.88,4135.69,2488952.91
2018-06-10,504.0,593.88,593.88,526.28,40970.53,22399874.48
2018-06-11,509.85,536.87,526.28,530.57,28129.93,14722723.76
2018-06-12,485.0,540.56,530.57,494.16,23604.47,12093609.39
2018-06-13,449.65,501.71,494.16,475.89,38425.71,18198066.59
2018-06-14,460.25,527.97,475.89,520.57,48837.27,24131512.02
2018-06-15,483.73,522.31,520.57,488.27,21467.66,10793358.79
2018-06-16,483.16,502.82,488.27,497.84,7986.64,3954540.56
2018-06-17,493.3,510.0,497.84,497.26,11403.09,5738921.47
2018-06-18,487.3,524.54,497.26,517.04,12730.78,6462798.2
2018-06-19,514.62,547.82,517.04,538.11,16731.88,8903110.41
2018-06-20,516.97,542.29,538.11,536.3,13158.59,6985736.55
2018-06-21,521.04,545.23,536.3,525.27,12803.87,6798779.96
2018-06-22,449.91,526.27,525.27,462.86,51972.46,25181790.28
2018-06-23,457.16,482.53,462.86,475.35,7043.56,3319064.02
2018-06-24,421.0,476.42,475.35,455.27,26971.2,12011788.16
2018-06-25,445.0,474.69,455.27,458.48,25796.12,11814090.61
2018-06-26,428.87,461.65,458.48,429.73,23672.15,10591282.69
2018-06-27,420.0,446.66,429.73,441.55,19038.2,8210469.4
2018-06-28,417.0,443.67,441.55,420.51,11044.72,4768027.53
2018-06-29,404.98,442.08,420.51,434.4,22951.4,9557402.17
2018-06-30,434.4,463.0,434.4,453.84,17994.05,8074383.08
2018-07-01,444.33,456.99,453.84,452.42,11857.34,5362612.82
2018-07-02,443.28,481.7,452.42,475.63,26051.77,12095485.03
2018-07-03,459.66,486.99,475.63,460.89,16389.19,7733222.42
